generated_at_utc,source_url,player,team,position,price,current_avg,projected_avg,growth_factor,projected_price_gain,value_score,bye_round,projected_season_points,sc_trend,selected_for_team,selection_rank,is_overall_winner
2026-02-19T03:08:06+00:00,https://www.footywire.com/afl/footy/supercoach_prices,Nasiah Wanganeen-Milera,STK,DEF,622300,115.24,133.71,1.16,99709,21.4857,,3075.23,1.15,yes,4,no
2026-02-19T03:08:06+00:00,https://www.footywire.com/afl/footy/supercoach_prices,Lachlan Ash,GWS,DEF,583000,107.96,126.01,1.17,97470,21.6146,,2898.30,1.14,yes,6,no
2026-02-19T03:08:06+00:00,https://www.footywire.com/afl/footy/supercoach_prices,Jack Sinclair,STK,DEF,606600,112.33,116.38,1.04,21826,19.1849,,2676.63,1.01,yes,9,no
2026-02-19T03:08:06+00:00,https://www.footywire.com/afl/footy/supercoach_prices,Lachie Whitfield,GWS,DEF,599200,110.96,115.62,1.04,25137,19.2954,,2659.22,1.00,yes,10,no
2026-02-19T03:08:06+00:00,https://www.footywire.com/afl/footy/supercoach_prices,Ben Murphy,BRL,DEF,99100,18.35,22.94,1.25,24775,23.1481,,527.62,,yes,22,no
2026-02-19T03:08:06+00:00,https://www.footywire.com/afl/footy/supercoach_prices,Keighton Matofai-Forbes,GEE,DEF/FWD,99100,18.35,22.94,1.25,24775,23.1481,,527.62,,yes,23,no
2026-02-19T03:08:06+00:00,https://www.footywire.com/afl/footy/supercoach_prices,Hugh McCluggage,BRL,MID,646300,119.69,140.18,1.17,110681,21.6899,,3224.18,1.14,yes,1,yes
2026-02-19T03:08:06+00:00,https://www.footywire.com/afl/footy/supercoach_prices,Marcus Bontempelli,WBD,MID,706800,130.89,137.06,1.05,33299,19.3910,,3152.27,1.02,yes,2,no
2026-02-19T03:08:06+00:00,https://www.footywire.com/afl/footy/supercoach_prices,Bailey Smith,GEE,MID,638300,118.20,133.73,1.13,83827,20.9505,,3075.73,1.10,yes,3,no
2026-02-19T03:08:06+00:00,https://www.footywire.com/afl/footy/supercoach_prices,Jagga Smith,CAR,MID,119900,22.20,29.98,1.35,41965,25.0000,,689.43,,yes,15,no
2026-02-19T03:08:06+00:00,https://www.footywire.com/afl/footy/supercoach_prices,Nick Driscoll,GEE,MID,99100,18.35,22.94,1.25,24775,23.1481,,527.62,,yes,16,no
2026-02-19T03:08:06+00:00,https://www.footywire.com/afl/footy/supercoach_prices,Ollie Greeves,HAW,MID,99100,18.35,22.94,1.25,24775,23.1481,,527.62,,yes,17,no
2026-02-19T03:08:06+00:00,https://www.footywire.com/afl/footy/supercoach_prices,Riley Onley,MEL,MID,99100,18.35,20.63,1.12,12287,20.8146,,474.43,,yes,24,no
2026-02-19T03:08:06+00:00,https://www.footywire.com/afl/footy/supercoach_prices,Jack Watkins,PTA,MID,99100,18.35,20.63,1.12,12287,20.8146,,474.43,,yes,25,no
2026-02-19T03:08:06+00:00,https://www.footywire.com/afl/footy/supercoach_prices,Toby Whan,FRE,MID,99100,18.35,20.63,1.12,12287,20.8146,,474.43,,yes,26,no
2026-02-19T03:08:06+00:00,https://www.footywire.com/afl/footy/supercoach_prices,Patrick Said,STK,MID/FWD,99100,18.35,20.63,1.12,12287,20.8146,,474.43,,yes,27,no
2026-02-19T03:08:06+00:00,https://www.footywire.com/afl/footy/supercoach_prices,Riley Hamilton,GWS,MID/FWD,99100,18.35,20.63,1.12,12287,20.8146,,474.43,,yes,28,no
2026-02-19T03:08:06+00:00,https://www.footywire.com/afl/footy/supercoach_prices,Leon Kickett,FRE,MID/FWD,99100,18.35,20.63,1.12,12287,20.8146,,474.43,,yes,29,no
2026-02-19T03:08:06+00:00,https://www.footywire.com/afl/footy/supercoach_prices,Darcy Cameron,COL,RUC,602300,111.54,126.78,1.14,82326,21.0498,,2916.00,1.10,yes,5,no
2026-02-19T03:08:06+00:00,https://www.footywire.com/afl/footy/supercoach_prices,Max Gawn,MEL,RUC,689600,127.70,123.87,0.97,-20688,17.9630,,2849.07,1.00,yes,7,no
2026-02-19T03:08:06+00:00,https://www.footywire.com/afl/footy/supercoach_prices,Luke Jackson,FRE,RUC,611200,113.19,123.08,1.09,53455,20.1382,,2830.94,1.08,yes,8,no
2026-02-19T03:08:06+00:00,https://www.footywire.com/afl/footy/supercoach_prices,Riley Thilthorpe,ADE,FWD,525400,97.30,112.34,1.15,81224,21.3814,,2583.77,1.15,yes,11,no
2026-02-19T03:08:06+00:00,https://www.footywire.com/afl/footy/supercoach_prices,Sam Darcy,WBD,FWD,517600,95.85,110.23,1.15,77639,21.2963,,2535.28,1.15,yes,12,no
2026-02-19T03:08:06+00:00,https://www.footywire.com/afl/footy/supercoach_prices,Gryan Miers,GEE,FWD,508700,94.20,101.90,1.08,41552,20.0312,,2343.67,1.08,yes,13,no
2026-02-19T03:08:06+00:00,https://www.footywire.com/afl/footy/supercoach_prices,Jack Ginnivan,HAW,FWD,429500,79.54,100.61,1.26,113817,23.4259,,2314.13,1.15,yes,14,no
2026-02-19T03:08:06+00:00,https://www.footywire.com/afl/footy/supercoach_prices,Jesse Mellor,GEE,FWD,99100,18.35,22.94,1.25,24775,23.1481,,527.62,,yes,18,no
2026-02-19T03:08:06+00:00,https://www.footywire.com/afl/footy/supercoach_prices,Liam Hetherton,SYD,FWD,99100,18.35,22.94,1.25,24775,23.1481,,527.62,,yes,19,no
2026-02-19T03:08:06+00:00,https://www.footywire.com/afl/footy/supercoach_prices,Jai Saxena,COL,FWD,99100,18.35,22.94,1.25,24775,23.1481,,527.62,,yes,20,no
2026-02-19T03:08:06+00:00,https://www.footywire.com/afl/footy/supercoach_prices,Noah Chamberlain,SYD,FWD,99100,18.35,22.94,1.25,24775,23.1481,,527.62,,yes,21,no
2026-02-19T03:08:06+00:00,https://www.footywire.com/afl/footy/supercoach_prices,Fred Rodriguez,WCE,FWD,99100,18.35,20.63,1.12,12287,20.8146,,474.43,,yes,30,no
